CD8_Epitopes,FS20,,,,CD8_Epitopes,FS21,,,,CD8_Epitopes,FS22,,,,CD8_Epitopes,Bang,,,,CD8_Epitopes,FSGT,,,,,CD8_Epitopes,FSSP,,,,CD8_Epitopes,VacRan,,,,CD8_Epitopes,VacSP,,,
Query,Subject,Percent Identity,Query Coverage,E-value,Query,Subject,Percent Identity,Query Coverage,E-value,Query,Subject,Percent Identity,Query Coverage,E-value,Query,Subject,Percent Identity,Query Coverage,E-value,Query,Subject,,Percent Identity,Query Coverage,E-value,Query,Subject,Percent Identity,Query Coverage,E-value,Query,Subject,Percent Identity,Query Coverage,E-value,Query,Subject,Percent Identity,Query Coverage,E-value
61674,lcl|OR863389.1_prot_WPS90660.1_129,75,89,6.30e+00,61674,lcl|OR393175.1_prot_WNV32829.1_129,75,89,6.30e+00,61674,lcl|OR393169.1_prot_WNV31935.1_129,75,89,6.30e+00,61674,lcl|OP688129.1_prot_UZP80145.1_130,75,89,6.40e+00,62439,lcl|MN072620.1_prot_QEJ78731.1_28,1,71.43,78,9.00e-01,62684,lcl|MW167070.1_prot_QQG62995.1_46,71.43,78,1.00e+00,62684,lcl|OK422494.1_prot_UJQ44424.1_51,71.43,78,9.60e-01,62684,lcl|MT137384.1_prot_QRU95136.1_45,71.43,78,1.00e+00
62233,lcl|OR863389.1_prot_WPS90646.1_115,88.89,100,2.50e-01,62233,lcl|OR393175.1_prot_WNV32815.1_115,88.89,100,2.50e-01,62233,lcl|OR393169.1_prot_WNV31921.1_115,88.89,100,2.50e-01,62233,lcl|OP688129.1_prot_UZP80131.1_116,88.89,100,2.50e-01,62540,lcl|MN072620.1_prot_QEJ78815.1_112,1,77.78,100,2.30e-01,63646,lcl|MW167070.1_prot_QQG62994.1_45,100,100,8.90e-02,63646,lcl|OK422494.1_prot_UJQ44423.1_50,100,100,8.40e-02,63646,lcl|MT137384.1_prot_QRU95135.1_44,100,100,8.90e-02
62412,lcl|OR863389.1_prot_WPS90596.1_65,71.43,88,3.30e+00,62412,lcl|OR393175.1_prot_WNV32765.1_65,71.43,88,3.30e+00,62412,lcl|OR393169.1_prot_WNV31871.1_65,71.43,88,3.30e+00,62412,lcl|OP688129.1_prot_UZP80081.1_66,71.43,88,3.40e+00,62684,lcl|MN072620.1_prot_QEJ78748.1_45,1,71.43,78,1.00e+00,64299,lcl|MW167070.1_prot_QQG63021.1_72,71.43,88,2.30e+00,64299,lcl|OK422494.1_prot_UJQ44450.1_77,71.43,88,2.20e+00,64299,lcl|MT137384.1_prot_QRU95162.1_71,71.43,88,2.30e+00
62439,lcl|OR863389.1_prot_WPS90562.1_31,71.43,78,9.00e-01,62439,lcl|OR393175.1_prot_WNV32731.1_31,71.43,78,9.00e-01,62439,lcl|OR393169.1_prot_WNV31837.1_31,71.43,78,9.00e-01,62439,lcl|OP688129.1_prot_UZP80047.1_32,71.43,78,9.20e-01,63596,lcl|MN072620.1_prot_QEJ78734.1_31,1,71.43,70,7.30e+00,64324,lcl|MW167070.1_prot_QQG63071.1_122,85.71,88,4.10e+00,64324,lcl|OK422494.1_prot_UJQ44499.1_126,75,100,1.30e+00,64324,lcl|MT137384.1_prot_QRU95212.1_121,85.71,88,4.10e+00
62540,lcl|OR863389.1_prot_WPS90646.1_115,77.78,100,2.30e-01,62540,lcl|OR393175.1_prot_WNV32815.1_115,77.78,100,2.30e-01,62540,lcl|OR393169.1_prot_WNV31921.1_115,77.78,100,2.30e-01,62540,lcl|OP688129.1_prot_UZP80131.1_116,77.78,100,2.30e-01,63646,lcl|MN072620.1_prot_QEJ78747.1_44,1,100,100,9.00e-02,64800,lcl|MW167070.1_prot_QQG63063.1_114,75,89,4.30e-02,64800,lcl|OK422494.1_prot_UJQ44491.1_118,75,89,8.10e-02,64800,lcl|MT137384.1_prot_QRU95204.1_113,75,89,4.30e-02
62684,lcl|OR863389.1_prot_WPS90579.1_48,71.43,78,1.00e+00,62684,lcl|OR393175.1_prot_WNV32748.1_48,71.43,78,1.00e+00,62684,lcl|OR393169.1_prot_WNV31854.1_48,71.43,78,1.00e+00,62684,lcl|OP688129.1_prot_UZP80064.1_49,71.43,78,1.00e+00,64299,lcl|MN072620.1_prot_QEJ78774.1_71,1,71.43,88,2.30e+00,65232,lcl|MW167070.1_prot_QQG63027.1_78,71.43,78,1.10e+00,65361,lcl|OK422494.1_prot_UJQ44414.1_41,83.33,75,3.70e+00,65232,lcl|MT137384.1_prot_QRU95168.1_77,71.43,78,1.10e+00
63646,lcl|OR863389.1_prot_WPS90578.1_47,100,100,9.00e-02,63646,lcl|OR393175.1_prot_WNV32747.1_47,100,100,9.00e-02,63646,lcl|OR393169.1_prot_WNV31853.1_47,100,100,9.00e-02,63646,lcl|OP688129.1_prot_UZP80063.1_48,100,100,9.20e-02,64324,lcl|MN072620.1_prot_QEJ78824.1_121,1,75,100,1.40e+00,65361,lcl|MW167070.1_prot_QQG62985.1_36,83.33,75,4.00e+00,66271,lcl|OK422494.1_prot_UJQ44423.1_50,80,100,1.50e-02,65361,lcl|MT137384.1_prot_QRU95126.1_35,83.33,75,4.00e+00
64299,lcl|OR863389.1_prot_WPS90605.1_74,71.43,88,2.30e+00,64299,lcl|OR393175.1_prot_WNV32774.1_74,71.43,88,2.30e+00,64299,lcl|OR393169.1_prot_WNV31880.1_74,71.43,88,2.30e+00,64299,lcl|OP688129.1_prot_UZP80090.1_75,71.43,88,2.40e+00,64800,lcl|MN072620.1_prot_QEJ78816.1_113,1,75,89,1.10e-01,66271,lcl|MW167070.1_prot_QQG62994.1_45,80,100,1.60e-02,66433,lcl|OK422494.1_prot_UJQ44446.1_73,88.89,100,1.10e-01,66271,lcl|MT137384.1_prot_QRU95135.1_44,80,100,1.60e-02
64324,lcl|OR863389.1_prot_WPS90654.1_123,75,100,1.40e+00,64324,lcl|OR393175.1_prot_WNV32823.1_123,75,100,1.40e+00,64324,lcl|OR393169.1_prot_WNV31929.1_123,75,100,1.40e+00,64324,lcl|OP688129.1_prot_UZP80139.1_124,75,100,1.40e+00,65361,lcl|MN072620.1_prot_QEJ78738.1_35,1,83.33,75,4.00e+00,66433,lcl|MW167070.1_prot_QQG63017.1_68,88.89,100,1.10e-01,67166,lcl|OK422494.1_prot_UJQ44391.1_18,71.43,70,7.50e+00,66433,lcl|MT137384.1_prot_QRU95158.1_67,88.89,100,1.10e-01
64800,lcl|OR863389.1_prot_WPS90647.1_116,75,89,8.60e-02,64800,lcl|OR393175.1_prot_WNV32816.1_116,75,89,8.60e-02,64800,lcl|OR393169.1_prot_WNV31922.1_116,75,89,8.60e-02,64800,lcl|OP688129.1_prot_UZP80132.1_117,75,89,8.80e-02,66271,lcl|MN072620.1_prot_QEJ78747.1_44,1,80,100,1.60e-02,67166,lcl|MW167070.1_prot_QQG62965.1_16,71.43,70,4.10e+00,67489,lcl|OK422494.1_prot_UJQ44458.1_85,88.89,100,9.40e-02,67166,lcl|MT137384.1_prot_QRU95106.1_15,71.43,70,4.30e+00
64939,lcl|OR863389.1_prot_WPS90681.1_150,83.33,78,3.10e+00,64939,lcl|OR393175.1_prot_WNV32850.1_150,83.33,78,3.10e+00,64939,lcl|OR393169.1_prot_WNV31956.1_150,83.33,78,3.10e+00,64939,lcl|OP688129.1_prot_UZP80167.1_152,83.33,78,3.20e+00,66433,lcl|MN072620.1_prot_QEJ78770.1_67,1,88.89,100,1.20e-01,67489,lcl|MW167070.1_prot_QQG63029.1_80,88.89,100,1.10e-01,68267,lcl|OK422494.1_prot_UJQ44487.1_114,85.71,78,5.60e-01,67489,lcl|MT137384.1_prot_QRU95170.1_79,88.89,100,1.10e-01
65361,lcl|OR863389.1_prot_WPS90569.1_38,83.33,75,3.90e+00,65361,lcl|OR393175.1_prot_WNV32738.1_38,83.33,75,4.00e+00,65361,lcl|OR393169.1_prot_WNV31844.1_38,83.33,75,4.00e+00,65361,lcl|OP688129.1_prot_UZP80054.1_39,83.33,75,4.00e+00,67166,lcl|MN072620.1_prot_QEJ78718.1_15,1,71.43,70,3.90e+00,68267,lcl|MW167070.1_prot_QQG63059.1_110,85.71,78,5.90e-01,68386,lcl|OK422494.1_prot_UJQ44487.1_114,100,89,5.70e-02,68267,lcl|MT137384.1_prot_QRU95200.1_109,85.71,78,5.90e-01
66271,lcl|OR863389.1_prot_WPS90578.1_47,80,100,1.60e-02,66271,lcl|OR393175.1_prot_WNV32747.1_47,80,100,1.70e-02,66271,lcl|OR393169.1_prot_WNV31853.1_47,80,100,1.70e-02,66271,lcl|OP688129.1_prot_UZP80063.1_48,80,100,1.70e-02,67489,lcl|MN072620.1_prot_QEJ78782.1_79,1,88.89,100,1.10e-01,68386,lcl|MW167070.1_prot_QQG63059.1_110,100,89,6.00e-02,69449,lcl|OK422494.1_prot_UJQ44451.1_78,90,100,2.60e-02,68386,lcl|MT137384.1_prot_QRU95200.1_109,100,89,6.00e-02
66433,lcl|OR863389.1_prot_WPS90601.1_70,88.89,100,1.20e-01,66433,lcl|OR393175.1_prot_WNV32770.1_70,88.89,100,1.20e-01,66433,lcl|OR393169.1_prot_WNV31876.1_70,88.89,100,1.20e-01,66433,lcl|OP688129.1_prot_UZP80086.1_71,88.89,100,1.20e-01,68267,lcl|MN072620.1_prot_QEJ78812.1_109,1,85.71,78,5.70e-01,69449,lcl|MW167070.1_prot_QQG63022.1_73,90,100,3.00e-02,69621,lcl|OK422494.1_prot_UJQ44464.1_91,77.78,100,1.30e-01,69449,lcl|MT137384.1_prot_QRU95163.1_72,90,100,3.10e-02
67489,lcl|OR863389.1_prot_WPS90613.1_82,88.89,100,1.00e-01,67489,lcl|OR393175.1_prot_WNV32782.1_82,88.89,100,1.00e-01,67489,lcl|OR393169.1_prot_WNV31888.1_82,88.89,100,1.00e-01,67489,lcl|OP688129.1_prot_UZP80098.1_83,88.89,100,1.00e-01,68386,lcl|MN072620.1_prot_QEJ78812.1_109,1,100,89,6.10e-02,69594,lcl|MW167070.1_prot_QQG63092.1_143,85.71,78,9.60e-01,69686,lcl|OK422494.1_prot_UJQ44459.1_86,88.89,100,4.00e-02,69594,lcl|MT137384.1_prot_QRU95233.1_142,85.71,78,9.60e-01
68267,lcl|OR863389.1_prot_WPS90643.1_112,85.71,78,6.00e-01,68267,lcl|OR393175.1_prot_WNV32812.1_112,85.71,78,6.00e-01,68267,lcl|OR393169.1_prot_WNV31918.1_112,85.71,78,6.00e-01,68267,lcl|OP688129.1_prot_UZP80128.1_113,85.71,78,6.10e-01,69449,lcl|MN072620.1_prot_QEJ78775.1_72,1,90,100,2.60e-02,69686,lcl|MW167070.1_prot_QQG63030.1_81,88.89,100,4.30e-02,69875,lcl|OK422494.1_prot_UJQ44384.1_11,75,89,1.10e+00,69686,lcl|MT137384.1_prot_QRU95171.1_80,88.89,100,4.30e-02
68386,lcl|OR863389.1_prot_WPS90643.1_112,100,89,6.10e-02,68386,lcl|OR393175.1_prot_WNV32812.1_112,100,89,6.10e-02,68386,lcl|OR393169.1_prot_WNV31918.1_112,100,89,6.10e-02,68386,lcl|OP688129.1_prot_UZP80128.1_113,100,89,6.20e-02,69594,lcl|MN072620.1_prot_QEJ78846.1_143,1,85.71,78,9.80e-01,69858,lcl|MW167070.1_prot_QQG62972.1_23,71.43,78,5.80e+00,69910,lcl|OK422494.1_prot_UJQ44384.1_11,87.5,89,1.90e-01,69858,lcl|MT137384.1_prot_QRU95113.1_22,71.43,78,5.80e+00
69449,lcl|OR863389.1_prot_WPS90606.1_75,90,100,2.70e-02,69449,lcl|OR393175.1_prot_WNV32775.1_75,90,100,2.70e-02,69449,lcl|OR393169.1_prot_WNV31881.1_75,90,100,2.70e-02,69449,lcl|OP688129.1_prot_UZP80091.1_76,90,100,2.80e-02,69686,lcl|MN072620.1_prot_QEJ78783.1_80,1,88.89,100,4.20e-02,69875,lcl|MW167070.1_prot_QQG62959.1_10,75,89,1.20e+00,70288,lcl|OK422494.1_prot_UJQ44405.1_32,88.89,100,5.00e-03,69875,lcl|MT137384.1_prot_QRU95100.1_9,75,89,1.20e+00
69594,lcl|OR863389.1_prot_WPS90676.1_145,85.71,78,9.80e-01,69594,lcl|OR393175.1_prot_WNV32845.1_145,85.71,78,9.80e-01,69594,lcl|OR393169.1_prot_WNV31951.1_145,85.71,78,9.80e-01,69594,lcl|OP688129.1_prot_UZP80162.1_147,85.71,78,1.00e+00,69875,lcl|MN072620.1_prot_QEJ78712.1_9,1,75,89,1.40e+00,69910,lcl|MW167070.1_prot_QQG62959.1_10,87.5,89,2.10e-01,70530,lcl|OK422494.1_prot_UJQ44478.1_105,77.78,100,1.90e-01,69910,lcl|MT137384.1_prot_QRU95100.1_9,87.5,89,2.10e-01
69621,lcl|OR863389.1_prot_WPS90619.1_88,77.78,100,1.40e-01,69621,lcl|OR393175.1_prot_WNV32788.1_88,77.78,100,1.40e-01,69621,lcl|OR393169.1_prot_WNV31894.1_88,77.78,100,1.40e-01,69621,lcl|OP688129.1_prot_UZP80104.1_89,77.78,100,1.40e-01,69910,lcl|MN072620.1_prot_QEJ78712.1_9,1,87.5,89,2.20e-01,70288,lcl|MW167070.1_prot_QQG62977.1_28,88.89,100,6.00e-03,71023,lcl|OK422494.1_prot_UJQ44459.1_86,75,89,2.30e+00,70288,lcl|MT137384.1_prot_QRU95118.1_27,88.89,100,5.00e-03
69686,lcl|OR863389.1_prot_WPS90614.1_83,88.89,100,4.30e-02,69686,lcl|OR393175.1_prot_WNV32783.1_83,88.89,100,4.30e-02,69686,lcl|OR393169.1_prot_WNV31889.1_83,88.89,100,4.30e-02,69686,lcl|OP688129.1_prot_UZP80099.1_84,88.89,100,4.30e-02,70288,lcl|MN072620.1_prot_QEJ78730.1_27,1,88.89,100,6.00e-03,70530,lcl|MW167070.1_prot_QQG63049.1_100,77.78,100,2.00e-01,71371,lcl|OK422494.1_prot_UJQ44424.1_51,88.89,100,1.30e-01,70530,lcl|MT137384.1_prot_QRU95190.1_99,77.78,100,1.90e-01
69875,lcl|OR863389.1_prot_WPS90543.1_12,75,89,1.20e+00,69875,lcl|OR393175.1_prot_WNV32712.1_12,75,89,1.20e+00,69875,lcl|OR393169.1_prot_WNV31818.1_12,75,89,1.20e+00,69875,lcl|OP688129.1_prot_UZP80027.1_12,75,89,1.20e+00,70530,lcl|MN072620.1_prot_QEJ78802.1_99,1,77.78,100,2.00e-01,71023,lcl|MW167070.1_prot_QQG63030.1_81,75,89,2.40e+00,71394,lcl|OK422494.1_prot_UJQ44401.1_28,83.33,75,2.40e+00,71023,lcl|MT137384.1_prot_QRU95171.1_80,75,89,2.40e+00
69910,lcl|OR863389.1_prot_WPS90543.1_12,87.5,89,2.00e-01,69910,lcl|OR393175.1_prot_WNV32712.1_12,87.5,89,2.00e-01,69910,lcl|OR393169.1_prot_WNV31818.1_12,87.5,89,2.00e-01,69910,lcl|OP688129.1_prot_UZP80027.1_12,87.5,89,2.10e-01,71023,lcl|MN072620.1_prot_QEJ78783.1_80,1,75,89,2.50e+00,71371,lcl|MW167070.1_prot_QQG62995.1_46,88.89,100,1.60e-01,71936,lcl|OK422494.1_prot_UJQ44458.1_85,88.89,100,1.70e-02,71371,lcl|MT137384.1_prot_QRU95136.1_45,88.89,100,1.60e-01
70288,lcl|OR863389.1_prot_WPS90561.1_30,88.89,100,6.00e-03,70288,lcl|OR393175.1_prot_WNV32730.1_30,88.89,100,6.00e-03,70288,lcl|OR393169.1_prot_WNV31836.1_30,88.89,100,6.00e-03,70288,lcl|OP688129.1_prot_UZP80046.1_31,88.89,100,6.00e-03,71371,lcl|MN072620.1_prot_QEJ78748.1_45,1,88.89,100,1.50e-01,71394,lcl|MW167070.1_prot_QQG62973.1_24,83.33,75,2.50e+00,72053,lcl|OK422494.1_prot_UJQ44465.1_92,71.43,89,6.30e+00,71394,lcl|MT137384.1_prot_QRU95114.1_23,83.33,75,2.50e+00
70530,lcl|OR863389.1_prot_WPS90633.1_102,77.78,100,2.00e-01,70530,lcl|OR393175.1_prot_WNV32802.1_102,77.78,100,2.00e-01,70530,lcl|OR393169.1_prot_WNV31908.1_102,77.78,100,2.00e-01,70530,lcl|OP688129.1_prot_UZP80118.1_103,77.78,100,2.00e-01,71394,lcl|MN072620.1_prot_QEJ78726.1_23,1,83.33,75,2.50e+00,71936,lcl|MW167070.1_prot_QQG63029.1_80,88.89,100,1.90e-02,72740,lcl|OK422494.1_prot_UJQ44507.1_134,77.78,100,4.10e-02,71936,lcl|MT137384.1_prot_QRU95170.1_79,88.89,100,1.90e-02
71023,lcl|OR863389.1_prot_WPS90614.1_83,75,89,2.50e+00,71023,lcl|OR393175.1_prot_WNV32783.1_83,75,89,2.50e+00,71023,lcl|OR393169.1_prot_WNV31889.1_83,75,89,2.50e+00,71023,lcl|OP688129.1_prot_UZP80099.1_84,75,89,2.60e+00,71936,lcl|MN072620.1_prot_QEJ78782.1_79,1,88.89,100,1.90e-02,72053,lcl|MW167070.1_prot_QQG63036.1_87,71.43,89,6.60e+00,74099,lcl|OK422494.1_prot_UJQ44489.1_116,80,100,2.10e-02,72053,lcl|MT137384.1_prot_QRU95177.1_86,71.43,89,6.60e+00
71371,lcl|OR863389.1_prot_WPS90579.1_48,88.89,100,1.40e-01,71371,lcl|OR393175.1_prot_WNV32748.1_48,88.89,100,1.40e-01,71371,lcl|OR393169.1_prot_WNV31854.1_48,88.89,100,1.40e-01,71371,lcl|OP688129.1_prot_UZP80064.1_49,88.89,100,1.40e-01,72053,lcl|MN072620.1_prot_QEJ78789.1_86,1,71.43,89,6.30e+00,72740,lcl|MW167070.1_prot_QQG63079.1_130,77.78,100,4.10e-02,74185,lcl|OK422494.1_prot_UJQ44418.1_45,77.78,100,8.40e-02,72740,lcl|MT137384.1_prot_QRU95220.1_129,77.78,100,4.10e-02
71394,lcl|OR863389.1_prot_WPS90558.1_27,83.33,75,2.50e+00,71394,lcl|OR393175.1_prot_WNV32727.1_27,83.33,75,2.50e+00,71394,lcl|OR393169.1_prot_WNV31833.1_27,83.33,75,2.50e+00,71394,lcl|OP688129.1_prot_UZP80043.1_28,83.33,75,2.60e+00,72394,lcl|MN072620.1_prot_QEJ78851.1_148,1,85.71,70,7.40e+00,74099,lcl|MW167070.1_prot_QQG63061.1_112,80,100,2.30e-02,74649,lcl|OK422494.1_prot_UJQ44424.1_51,77.78,100,9.00e-02,74099,lcl|MT137384.1_prot_QRU95202.1_111,80,100,2.30e-02
71936,lcl|OR863389.1_prot_WPS90613.1_82,88.89,100,1.80e-02,71936,lcl|OR393175.1_prot_WNV32782.1_82,88.89,100,1.80e-02,71936,lcl|OR393169.1_prot_WNV31888.1_82,88.89,100,1.80e-02,71936,lcl|OP688129.1_prot_UZP80098.1_83,88.89,100,1.90e-02,72740,lcl|MN072620.1_prot_QEJ78832.1_129,1,77.78,100,4.20e-02,74185,lcl|MW167070.1_prot_QQG62989.1_40,77.78,100,9.10e-02,74658,lcl|OK422494.1_prot_UJQ44474.1_101,88.89,100,3.00e-03,74185,lcl|MT137384.1_prot_QRU95130.1_39,77.78,100,9.10e-02
72053,lcl|OR863389.1_prot_WPS90620.1_89,71.43,89,6.70e+00,72053,lcl|OR393175.1_prot_WNV32789.1_89,71.43,89,6.70e+00,72053,lcl|OR393169.1_prot_WNV31895.1_89,71.43,89,6.70e+00,72053,lcl|OP688129.1_prot_UZP80105.1_90,71.43,89,6.80e+00,74099,lcl|MN072620.1_prot_QEJ78814.1_111,1,80,100,2.30e-02,74649,lcl|MW167070.1_prot_QQG62995.1_46,77.78,100,1.10e-01,74677,lcl|OK422494.1_prot_UJQ44482.1_109,88.89,100,5.00e-03,74649,lcl|MT137384.1_prot_QRU95136.1_45,77.78,100,1.10e-01
72394,lcl|OR863389.1_prot_WPS90681.1_150,85.71,70,6.80e+00,72394,lcl|OR393175.1_prot_WNV32850.1_150,85.71,70,6.80e+00,72394,lcl|OR393169.1_prot_WNV31956.1_150,85.71,70,6.80e+00,72394,lcl|OP688129.1_prot_UZP80167.1_152,85.71,70,6.90e+00,74185,lcl|MN072620.1_prot_QEJ78742.1_39,1,77.78,100,9.20e-02,74658,lcl|MW167070.1_prot_QQG63045.1_96,88.89,100,2.00e-03,74704,lcl|OK422494.1_prot_UJQ44454.1_81,75,89,5.70e-01,74658,lcl|MT137384.1_prot_QRU95186.1_95,88.89,100,2.00e-03
72740,lcl|OR863389.1_prot_WPS90663.1_132,77.78,100,4.40e-02,72740,lcl|OR393175.1_prot_WNV32832.1_132,77.78,100,4.40e-02,72740,lcl|OR393169.1_prot_WNV31938.1_132,77.78,100,4.40e-02,72740,lcl|OP688129.1_prot_UZP80148.1_133,77.78,100,4.40e-02,74649,lcl|MN072620.1_prot_QEJ78748.1_45,1,77.78,100,1.00e-01,74677,lcl|MW167070.1_prot_QQG63054.1_105,88.89,100,6.00e-03,74805,lcl|OK422494.1_prot_UJQ44496.1_123,100,100,6.70e-02,74677,lcl|MT137384.1_prot_QRU95195.1_104,88.89,100,6.00e-03
74099,lcl|OR863389.1_prot_WPS90645.1_114,80,100,2.30e-02,74099,lcl|OR393175.1_prot_WNV32814.1_114,80,100,2.30e-02,74099,lcl|OR393169.1_prot_WNV31920.1_114,80,100,2.30e-02,74099,lcl|OP688129.1_prot_UZP80130.1_115,80,100,2.30e-02,74658,lcl|MN072620.1_prot_QEJ78798.1_95,1,88.89,100,2.00e-03,74704,lcl|MW167070.1_prot_QQG63017.1_68,75,89,5.40e-01,74809,lcl|OK422494.1_prot_UJQ44458.1_85,87.5,89,2.20e-02,74704,lcl|MT137384.1_prot_QRU95158.1_67,75,89,5.40e-01
74185,lcl|OR863389.1_prot_WPS90573.1_42,77.78,100,8.90e-02,74185,lcl|OR393175.1_prot_WNV32742.1_42,77.78,100,9.00e-02,74185,lcl|OR393169.1_prot_WNV31848.1_42,77.78,100,9.00e-02,74185,lcl|OP688129.1_prot_UZP80058.1_43,77.78,100,9.10e-02,74677,lcl|MN072620.1_prot_QEJ78807.1_104,1,88.89,100,6.00e-03,74805,lcl|MW167070.1_prot_QQG63068.1_119,100,100,7.10e-02,74917,lcl|OK422494.1_prot_UJQ44441.1_68,75,89,2.90e+00,74805,lcl|MT137384.1_prot_QRU95209.1_118,100,100,7.10e-02
74649,lcl|OR863389.1_prot_WPS90579.1_48,77.78,100,9.60e-02,74649,lcl|OR393175.1_prot_WNV32748.1_48,77.78,100,9.60e-02,74649,lcl|OR393169.1_prot_WNV31854.1_48,77.78,100,9.60e-02,74649,lcl|OP688129.1_prot_UZP80064.1_49,77.78,100,9.80e-02,74704,lcl|MN072620.1_prot_QEJ78778.1_75,1,75,89,6.00e-01,74809,lcl|MW167070.1_prot_QQG63029.1_80,87.5,89,2.30e-02,75008,lcl|OK422494.1_prot_UJQ44425.1_52,87.5,89,4.70e-01,74809,lcl|MT137384.1_prot_QRU95170.1_79,87.5,89,2.30e-02
74658,lcl|OR863389.1_prot_WPS90629.1_98,88.89,100,3.00e-03,74658,lcl|OR393175.1_prot_WNV32798.1_98,88.89,100,3.00e-03,74658,lcl|OR393169.1_prot_WNV31904.1_98,88.89,100,3.00e-03,74658,lcl|OP688129.1_prot_UZP80114.1_99,88.89,100,3.00e-03,74805,lcl|MN072620.1_prot_QEJ78821.1_118,1,100,100,7.10e-02,74917,lcl|MW167070.1_prot_QQG63011.1_62,75,89,3.30e+00,75020,lcl|OK422494.1_prot_UJQ44462.1_89,75,80,1.70e+00,74917,lcl|MT137384.1_prot_QRU95152.1_61,75,89,3.30e+00
74677,lcl|OR863389.1_prot_WPS90638.1_107,88.89,100,5.00e-03,74677,lcl|OR393175.1_prot_WNV32807.1_107,88.89,100,5.00e-03,74677,lcl|OR393169.1_prot_WNV31913.1_107,88.89,100,5.00e-03,74677,lcl|OP688129.1_prot_UZP80123.1_108,88.89,100,6.00e-03,74809,lcl|MN072620.1_prot_QEJ78782.1_79,1,75,89,5.20e-02,75008,lcl|MW167070.1_prot_QQG62996.1_47,87.5,89,5.10e-01,75076,lcl|OK422494.1_prot_UJQ44465.1_92,71.43,78,1.30e+00,75008,lcl|MT137384.1_prot_QRU95137.1_46,87.5,89,5.10e-01
74704,lcl|OR863389.1_prot_WPS90609.1_78,75,89,6.10e-01,74704,lcl|OR393175.1_prot_WNV32778.1_78,75,89,6.10e-01,74704,lcl|OR393169.1_prot_WNV31884.1_78,75,89,6.10e-01,74704,lcl|OP688129.1_prot_UZP80094.1_79,75,89,6.20e-01,74917,lcl|MN072620.1_prot_QEJ78764.1_61,1,75,89,3.30e+00,75020,lcl|MW167070.1_prot_QQG63033.1_84,75,80,1.90e+00,76070,lcl|OK422494.1_prot_UJQ44476.1_103,88.89,100,4.20e-02,75020,lcl|MT137384.1_prot_QRU95174.1_83,75,80,1.90e+00
74805,lcl|OR863389.1_prot_WPS90651.1_120,100,100,7.10e-02,74805,lcl|OR393175.1_prot_WNV32820.1_120,100,100,7.10e-02,74805,lcl|OR393169.1_prot_WNV31926.1_120,100,100,7.10e-02,74805,lcl|OP688129.1_prot_UZP80136.1_121,100,100,7.30e-02,75008,lcl|MN072620.1_prot_QEJ78749.1_46,1,87.5,89,5.10e-01,75076,lcl|MW167070.1_prot_QQG63036.1_87,71.43,78,1.30e+00,76361,lcl|OK422494.1_prot_UJQ44517.1_144,71.43,78,4.90e+00,75076,lcl|MT137384.1_prot_QRU95177.1_86,71.43,78,1.30e+00
74809,lcl|OR863389.1_prot_WPS90613.1_82,87.5,89,2.40e-02,74809,lcl|OR393175.1_prot_WNV32782.1_82,87.5,89,2.40e-02,74809,lcl|OR393169.1_prot_WNV31888.1_82,87.5,89,2.40e-02,74809,lcl|OP688129.1_prot_UZP80098.1_83,87.5,89,2.40e-02,75020,lcl|MN072620.1_prot_QEJ78786.1_83,1,75,80,2.00e+00,76070,lcl|MW167070.1_prot_QQG63047.1_98,88.89,100,4.10e-02,84532,lcl|OK422494.1_prot_UJQ44378.1_5,87.5,89,5.50e-01,76070,lcl|MT137384.1_prot_QRU95188.1_97,88.89,100,4.10e-02
74917,lcl|OR863389.1_prot_WPS90595.1_64,75,89,3.10e+00,74917,lcl|OR393175.1_prot_WNV32764.1_64,75,89,3.10e+00,74917,lcl|OR393169.1_prot_WNV31870.1_64,75,89,3.30e+00,74917,lcl|OP688129.1_prot_UZP80080.1_65,75,89,3.20e+00,75076,lcl|MN072620.1_prot_QEJ78789.1_86,1,71.43,78,1.30e+00,76361,lcl|MW167070.1_prot_QQG63088.1_139,71.43,78,5.60e+00,84630,lcl|OK422494.1_prot_UJQ44490.1_117,75,89,1.00e-01,76361,lcl|MT137384.1_prot_QRU95229.1_138,71.43,78,5.60e+00
75008,lcl|OR863389.1_prot_WPS90580.1_49,87.5,89,5.00e-01,75008,lcl|OR393175.1_prot_WNV32749.1_49,87.5,89,5.00e-01,75008,lcl|OR393169.1_prot_WNV31855.1_49,87.5,89,5.00e-01,75008,lcl|OP688129.1_prot_UZP80065.1_50,87.5,89,5.10e-01,76070,lcl|MN072620.1_prot_QEJ78800.1_97,1,88.89,100,4.10e-02,84532,lcl|MW167070.1_prot_QQG62953.1_4,87.5,89,7.10e-01,84788,lcl|OK422494.1_prot_UJQ44484.1_111,88.89,100,3.00e-02,84532,lcl|MT137384.1_prot_QRU95095.1_4,87.5,89,6.80e-01
